=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
Epoch 1, Val loss: 0.9316, Val F1: 0.6831
Epoch 2, Val loss: 0.5684, Val F1: 0.7985
Epoch 3, Val loss: 0.5356, Val F1: 0.8391
Epoch 4, Val loss: 0.4207, Val F1: 0.8501
Epoch 5, Val loss: 0.2983, Val F1: 0.8971
Epoch 6, Val loss: 0.2529, Val F1: 0.9138
Epoch 7, Val loss: 0.2535, Val F1: 0.9194
Epoch 8, Val loss: 0.2778, Val F1: 0.9183
Epoch 9, Val loss: 0.2292, Val F1: 0.9286
Epoch 10, Val loss: 0.2580, Val F1: 0.9177
Epoch 11, Val loss: 0.2260, Val F1: 0.9272
Epoch 12, Val loss: 0.2376, Val F1: 0.9334
Epoch 13, Val loss: 0.3044, Val F1: 0.9084
Epoch 14, Val loss: 0.2013, Val F1: 0.9390
Epoch 15, Val loss: 0.2003, Val F1: 0.9461
Epoch 16, Val loss: 0.1927, Val F1: 0.9423
Epoch 17, Val loss: 0.2635, Val F1: 0.9317
Epoch 18, Val loss: 0.2119, Val F1: 0.9400
Epoch 19, Val loss: 0.1661, Val F1: 0.9569
Epoch 20, Val loss: 0.2666, Val F1: 0.9437
Epoch 21, Val loss: 0.1782, Val F1: 0.9559
Epoch 22, Val loss: 0.2059, Val F1: 0.9489
Epoch 23, Val loss: 0.2000, Val F1: 0.9507
Epoch 24, Val loss: 0.1828, Val F1: 0.9605
Epoch 25, Val loss: 0.1947, Val F1: 0.9603
Epoch 26, Val loss: 0.2107, Val F1: 0.9478
Epoch 27, Val loss: 0.4076, Val F1: 0.9396
Epoch 28, Val loss: 0.1885, Val F1: 0.9541
Epoch 29, Val loss: 0.1716, Val F1: 0.9608
Epoch 30, Val loss: 0.1593, Val F1: 0.9636
[I 2026-05-31 15:19:37,941] Trial 0 finished with value: 0.9635607273618145 and parameters: {'n_conv_blocks': 4, 'base_channels': 256, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'single_3', 'kernels_block_3': 'single_5', 'n_fc_layers': 1, 'fc_hidden': 1024, 'dropout': 0.21769562799657025, 'activation': 'silu', 'lr': 0.0019796294016289203}. Best is trial 0 with value: 0.9635607273618145.
Epoch 1, Val loss: 1.0052, Val F1: 0.4679
Epoch 2, Val loss: 0.7074, Val F1: 0.6602
Epoch 3, Val loss: 0.5212, Val F1: 0.8274
Epoch 4, Val loss: 0.3913, Val F1: 0.8752
Epoch 5, Val loss: 0.3078, Val F1: 0.9046
Epoch 6, Val loss: 0.3155, Val F1: 0.9015
Epoch 7, Val loss: 0.2445, Val F1: 0.9258
Epoch 8, Val loss: 0.2375, Val F1: 0.9323
Epoch 9, Val loss: 0.2220, Val F1: 0.9388
Epoch 10, Val loss: 0.2241, Val F1: 0.9337
Epoch 11, Val loss: 0.1930, Val F1: 0.9439
Epoch 12, Val loss: 0.2031, Val F1: 0.9462
Epoch 13, Val loss: 0.1775, Val F1: 0.9491
Epoch 14, Val loss: 0.2065, Val F1: 0.9394
Epoch 15, Val loss: 0.2101, Val F1: 0.9388
Epoch 16, Val loss: 0.1851, Val F1: 0.9480
Epoch 17, Val loss: 0.1711, Val F1: 0.9527
Epoch 18, Val loss: 0.1940, Val F1: 0.9492
Epoch 19, Val loss: 0.1696, Val F1: 0.9555
Epoch 20, Val loss: 0.1844, Val F1: 0.9457
Epoch 21, Val loss: 0.1619, Val F1: 0.9560
Epoch 22, Val loss: 0.1705, Val F1: 0.9563
Epoch 23, Val loss: 0.1701, Val F1: 0.9571
Epoch 24, Val loss: 0.1528, Val F1: 0.9589
Epoch 25, Val loss: 0.1720, Val F1: 0.9507
Epoch 26, Val loss: 0.1805, Val F1: 0.9547
Epoch 27, Val loss: 0.1765, Val F1: 0.9572
Epoch 28, Val loss: 0.1584, Val F1: 0.9584
Epoch 29, Val loss: 0.1715, Val F1: 0.9543
[I 2026-05-31 15:21:11,257] Trial 1 finished with value: 0.9589191809372727 and parameters: {'n_conv_blocks': 3, 'base_channels': 16, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_7', 'kernels_block_2': 'single_5', 'n_fc_layers': 6, 'fc_hidden': 128, 'dropout': 0.2638053610398131, 'activation': 'gelu', 'lr': 0.00021305091969032452}. Best is trial 0 with value: 0.9635607273618145.
Epoch 1, Val loss: 2.2457, Val F1: 0.0440
Epoch 2, Val loss: 2.2297, Val F1: 0.0246
Epoch 3, Val loss: 2.2707, Val F1: 0.0299
Epoch 4, Val loss: 2.1747, Val F1: 0.0584
Epoch 5, Val loss: 2.2502, Val F1: 0.0612
Epoch 6, Val loss: 2.2959, Val F1: 0.0608
Epoch 7, Val loss: 2.1902, Val F1: 0.0815
Epoch 8, Val loss: 2.4199, Val F1: 0.0857
Epoch 9, Val loss: 2.2413, Val F1: 0.1269
