=== Job started: Sun May 31 15:09:46 CEST 2026 ===
Node:       rtx6000gpu3
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:10:55,247] A new study created in memory with name: rgb
Epoch 1, Val loss: 1.7381, Val F1: 0.1480
Epoch 2, Val loss: 1.4975, Val F1: 0.3042
Epoch 3, Val loss: 1.5796, Val F1: 0.2685
Epoch 4, Val loss: 1.5352, Val F1: 0.3191
Epoch 5, Val loss: 1.2950, Val F1: 0.3787
Epoch 6, Val loss: 1.2758, Val F1: 0.4130
Epoch 7, Val loss: 1.0533, Val F1: 0.5218
Epoch 8, Val loss: 1.5079, Val F1: 0.4037
Epoch 9, Val loss: 1.6034, Val F1: 0.3596
Epoch 10, Val loss: 1.0920, Val F1: 0.5008
Epoch 11, Val loss: 0.9687, Val F1: 0.5362
Epoch 12, Val loss: 1.2079, Val F1: 0.4234
Epoch 13, Val loss: 0.9425, Val F1: 0.5630
Epoch 14, Val loss: 3.1900, Val F1: 0.2091
Epoch 15, Val loss: 0.9922, Val F1: 0.5309
Epoch 16, Val loss: 0.8651, Val F1: 0.5639
Epoch 17, Val loss: 0.9803, Val F1: 0.5775
Epoch 18, Val loss: 1.1855, Val F1: 0.4842
Epoch 19, Val loss: 0.9184, Val F1: 0.5458
Epoch 20, Val loss: 0.8826, Val F1: 0.6200
Epoch 21, Val loss: 0.9618, Val F1: 0.5357
Epoch 22, Val loss: 0.8596, Val F1: 0.5998
Epoch 23, Val loss: 0.9607, Val F1: 0.5849
Epoch 24, Val loss: 0.8230, Val F1: 0.6123
Epoch 25, Val loss: 1.0830, Val F1: 0.5061
[I 2026-05-31 15:12:01,811] Trial 0 finished with value: 0.6199906667496118 and parameters: {'n_conv_blocks': 2, 'base_channels': 64, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_7', 'n_fc_layers': 5, 'fc_hidden': 128, 'dropout': 0.3950602886618537, 'activation': 'relu', 'lr': 0.0003170916533677675}. Best is trial 0 with value: 0.6199906667496118.
Epoch 1, Val loss: 1.8845, Val F1: 0.1213
Epoch 2, Val loss: 2.0864, Val F1: 0.0696
Epoch 3, Val loss: 2.2489, Val F1: 0.0715
Epoch 4, Val loss: 2.3204, Val F1: 0.1559
Epoch 5, Val loss: 2.0733, Val F1: 0.1712
Epoch 6, Val loss: 2.5062, Val F1: 0.1565
Epoch 7, Val loss: 2.3530, Val F1: 0.1667
Epoch 8, Val loss: 1.6086, Val F1: 0.3064
Epoch 9, Val loss: 2.5242, Val F1: 0.1415
Epoch 10, Val loss: 2.6539, Val F1: 0.1677
Epoch 11, Val loss: 2.0809, Val F1: 0.2171
Epoch 12, Val loss: 1.5528, Val F1: 0.3569
Epoch 13, Val loss: 1.4852, Val F1: 0.3591
Epoch 14, Val loss: 1.8171, Val F1: 0.2612
Epoch 15, Val loss: 1.8685, Val F1: 0.2639
Epoch 16, Val loss: 1.9738, Val F1: 0.2405
Epoch 17, Val loss: 1.8726, Val F1: 0.2423
Epoch 18, Val loss: 1.7131, Val F1: 0.3041
[I 2026-05-31 15:12:38,081] Trial 1 finished with value: 0.3590770662203122 and parameters: {'n_conv_blocks': 2, 'base_channels': 64, 'kernels_block_0': 'single_3', 'kernels_block_1': 'single_5', 'n_fc_layers': 9, 'fc_hidden': 128, 'dropout': 0.4175162950785376, 'activation': 'gelu', 'lr': 0.00027044793587346845}. Best is trial 0 with value: 0.6199906667496118.
Epoch 1, Val loss: 0.6608, Val F1: 0.7237
Epoch 2, Val loss: 0.5578, Val F1: 0.8042
Epoch 3, Val loss: 0.8092, Val F1: 0.7110
Epoch 4, Val loss: 0.4615, Val F1: 0.8242
Epoch 5, Val loss: 0.5245, Val F1: 0.8047
Epoch 6, Val loss: 0.3906, Val F1: 0.8529
Epoch 7, Val loss: 0.5345, Val F1: 0.8017
Epoch 8, Val loss: 0.3589, Val F1: 0.8775
Epoch 9, Val loss: 0.3799, Val F1: 0.8729
Epoch 10, Val loss: 0.5125, Val F1: 0.8164
Epoch 11, Val loss: 0.3124, Val F1: 0.8947
Epoch 12, Val loss: 0.3463, Val F1: 0.8772
Epoch 13, Val loss: 0.3797, Val F1: 0.8757
Epoch 14, Val loss: 0.4609, Val F1: 0.8531
Epoch 15, Val loss: 0.3512, Val F1: 0.8831
Epoch 16, Val loss: 0.6108, Val F1: 0.8219
[I 2026-05-31 15:13:10,589] Trial 2 finished with value: 0.8947479512509855 and parameters: {'n_conv_blocks': 3, 'base_channels': 32, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_5_7_9', 'kernels_block_2': 'multi_3_5', 'n_fc_layers': 3, 'fc_hidden': 1024, 'dropout': 0.5412699606123781, 'activation': 'gelu', 'lr': 0.00021240492322864593}. Best is trial 2 with value: 0.8947479512509855.
Epoch 1, Val loss: 1.7502, Val F1: 0.1978
Epoch 2, Val loss: 1.5779, Val F1: 0.3470
Epoch 3, Val loss: 1.4295, Val F1: 0.4188
Epoch 4, Val loss: 1.5028, Val F1: 0.4023
Epoch 5, Val loss: 1.3039, Val F1: 0.5120
Epoch 6, Val loss: 1.1521, Val F1: 0.4826
Epoch 7, Val loss: 1.0013, Val F1: 0.5941
Epoch 8, Val loss: 1.1537, Val F1: 0.4832
Epoch 9, Val loss: 1.0344, Val F1: 0.5692
Epoch 10, Val loss: 1.2504, Val F1: 0.4706
Epoch 11, Val loss: 1.4458, Val F1: 0.5438
Epoch 12, Val loss: 0.9252, Val F1: 0.6305
Epoch 13, Val loss: 0.8716, Val F1: 0.6476
Epoch 14, Val loss: 0.9723, Val F1: 0.6733
Epoch 15, Val loss: 0.9310, Val F1: 0.7048
