=== Job started: Wed May 27 02:04:47 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 02:04:53,725] A new study created in memory with name: ms
Epoch 1, Val loss: 0.3323, Val F1: 0.8874
Epoch 2, Val loss: 0.2910, Val F1: 0.9040
Epoch 3, Val loss: 0.2830, Val F1: 0.8997
Epoch 4, Val loss: 0.1747, Val F1: 0.9441
Epoch 5, Val loss: 0.1970, Val F1: 0.9367
Epoch 6, Val loss: 0.1637, Val F1: 0.9488
Epoch 7, Val loss: 0.1556, Val F1: 0.9480
Epoch 8, Val loss: 0.2047, Val F1: 0.9334
Epoch 9, Val loss: 0.1907, Val F1: 0.9413
Epoch 10, Val loss: 0.1333, Val F1: 0.9580
Epoch 11, Val loss: 0.1737, Val F1: 0.9408
Epoch 12, Val loss: 0.1999, Val F1: 0.9465
Epoch 13, Val loss: 0.1462, Val F1: 0.9629
Epoch 14, Val loss: 0.2004, Val F1: 0.9434
Epoch 15, Val loss: 0.1376, Val F1: 0.9601
Epoch 16, Val loss: 0.1167, Val F1: 0.9701
Epoch 17, Val loss: 0.1352, Val F1: 0.9637
Epoch 18, Val loss: 0.1712, Val F1: 0.9586
Epoch 19, Val loss: 0.2111, Val F1: 0.9481
Epoch 20, Val loss: 0.1474, Val F1: 0.9621
Epoch 21, Val loss: 0.1419, Val F1: 0.9597
[I 2026-05-27 02:05:51,594] Trial 0 finished with value: 0.9700902757683322 and parameters: {'n_conv_blocks': 3, 'base_channels': 32, 'fc_hidden': 256, 'dropout': 0.20841358684024205, 'activation': 'relu', 'lr': 0.0012734547491251686}. Best is trial 0 with value: 0.9700902757683322.
Epoch 1, Val loss: 0.4495, Val F1: 0.8365
Epoch 2, Val loss: 0.3039, Val F1: 0.8972
Epoch 3, Val loss: 0.2442, Val F1: 0.9219
Epoch 4, Val loss: 0.2076, Val F1: 0.9308
Epoch 5, Val loss: 0.2789, Val F1: 0.9054
Epoch 6, Val loss: 0.1954, Val F1: 0.9369
Epoch 7, Val loss: 0.2487, Val F1: 0.9195
Epoch 8, Val loss: 0.1765, Val F1: 0.9453
Epoch 9, Val loss: 0.1769, Val F1: 0.9416
Epoch 10, Val loss: 0.1629, Val F1: 0.9456
Epoch 11, Val loss: 0.1656, Val F1: 0.9430
Epoch 12, Val loss: 0.1580, Val F1: 0.9514
