=== Job started: Thu May 28 16:56:36 CEST 2026 ===
Node:       rtx6000gpu1
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 16:59:16,043] A new study created in memory with name: ms
Epoch 1, Val loss: 0.3401, Val F1: 0.8827
Epoch 2, Val loss: 0.2409, Val F1: 0.9197
Epoch 3, Val loss: 0.2212, Val F1: 0.9207
Epoch 4, Val loss: 0.2073, Val F1: 0.9317
Epoch 5, Val loss: 0.2216, Val F1: 0.9273
Epoch 6, Val loss: 0.1463, Val F1: 0.9544
Epoch 7, Val loss: 0.1475, Val F1: 0.9518
Epoch 8, Val loss: 0.1667, Val F1: 0.9455
Epoch 9, Val loss: 0.1037, Val F1: 0.9700
Epoch 10, Val loss: 0.1275, Val F1: 0.9583
Epoch 11, Val loss: 0.1078, Val F1: 0.9654
Epoch 12, Val loss: 0.1076, Val F1: 0.9648
Epoch 13, Val loss: 0.1294, Val F1: 0.9573
Epoch 14, Val loss: 0.1451, Val F1: 0.9581
[I 2026-05-28 17:00:47,558] Trial 0 finished with value: 0.970024514806067 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels': 'single_5', 'n_fc_layers': 2, 'fc_hidden': 512, 'dropout': 0.5905425492993032, 'activation': 'gelu', 'lr': 0.00020179165698529353}. Best is trial 0 with value: 0.970024514806067.
Epoch 1, Val loss: 0.3969, Val F1: 0.8609
Epoch 2, Val loss: 0.3101, Val F1: 0.8976
Epoch 3, Val loss: 0.2234, Val F1: 0.9264
Epoch 4, Val loss: 0.2310, Val F1: 0.9199
Epoch 5, Val loss: 0.1838, Val F1: 0.9374
Epoch 6, Val loss: 0.2382, Val F1: 0.9227
Epoch 7, Val loss: 0.1877, Val F1: 0.9355
Epoch 8, Val loss: 0.1559, Val F1: 0.9438
Epoch 9, Val loss: 0.1625, Val F1: 0.9497
Epoch 10, Val loss: 0.1490, Val F1: 0.9498
Epoch 11, Val loss: 0.1486, Val F1: 0.9537
Epoch 12, Val loss: 0.1862, Val F1: 0.9372
Epoch 13, Val loss: 0.1503, Val F1: 0.9514
Epoch 14, Val loss: 0.1504, Val F1: 0.9467
Epoch 15, Val loss: 0.1387, Val F1: 0.9566
Epoch 16, Val loss: 0.1590, Val F1: 0.9501
Epoch 17, Val loss: 0.1239, Val F1: 0.9615
Epoch 18, Val loss: 0.1476, Val F1: 0.9522
Epoch 19, Val loss: 0.1307, Val F1: 0.9581
Epoch 20, Val loss: 0.1629, Val F1: 0.9502
Epoch 21, Val loss: 0.1459, Val F1: 0.9517
Epoch 22, Val loss: 0.1373, Val F1: 0.9570
[I 2026-05-28 17:02:02,107] Trial 1 finished with value: 0.9614914893356097 and parameters: {'n_conv_blocks': 3, 'base_channels': 16, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 2, 'fc_hidden': 128, 'dropout': 0.37803600299299167, 'activation': 'gelu', 'lr': 0.0007076993531136383}. Best is trial 0 with value: 0.970024514806067.
Epoch 1, Val loss: 1.0767, Val F1: 0.5520
Epoch 2, Val loss: 0.8514, Val F1: 0.7362
Epoch 3, Val loss: 0.6969, Val F1: 0.7486
Epoch 4, Val loss: 0.5509, Val F1: 0.8272
Epoch 5, Val loss: 0.4489, Val F1: 0.8572
Epoch 6, Val loss: 0.4121, Val F1: 0.8702
Epoch 7, Val loss: 0.4303, Val F1: 0.8624
Epoch 8, Val loss: 0.4114, Val F1: 0.8766
Epoch 9, Val loss: 0.5025, Val F1: 0.8540
Epoch 10, Val loss: 0.5451, Val F1: 0.7438
Epoch 11, Val loss: 0.5334, Val F1: 0.7945
Epoch 12, Val loss: 0.3897, Val F1: 0.8802
Epoch 13, Val loss: 0.3299, Val F1: 0.9138
Epoch 14, Val loss: 0.3366, Val F1: 0.9132
Epoch 15, Val loss: 0.3905, Val F1: 0.8913
Epoch 16, Val loss: 1.2845, Val F1: 0.7622
Epoch 17, Val loss: 0.4753, Val F1: 0.8854
Epoch 18, Val loss: 0.3425, Val F1: 0.9009
[I 2026-05-28 17:02:54,620] Trial 2 finished with value: 0.9138082676159606 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'kernels': 'multi_3_5', 'n_fc_layers': 2, 'fc_hidden': 512, 'dropout': 0.39468848290452735, 'activation': 'gelu', 'lr': 0.009674433526175127}. Best is trial 0 with value: 0.970024514806067.
Epoch 1, Val loss: 1.6891, Val F1: 0.3009
Epoch 2, Val loss: 2.2496, Val F1: 0.0528
Epoch 3, Val loss: 2.3400, Val F1: 0.0200
Epoch 4, Val loss: 2.3426, Val F1: 0.0200
Epoch 5, Val loss: 2.3395, Val F1: 0.0200
Epoch 6, Val loss: 2.3484, Val F1: 0.0200
[I 2026-05-28 17:03:11,832] Trial 3 finished with value: 0.3008789885206842 and parameters: {'n_conv_blocks': 2, 'base_channels': 64, 'kernels': 'multi_3_7', 'n_fc_layers': 2, 'fc_hidden': 256, 'dropout': 0.5984232481036591, 'activation': 'gelu', 'lr': 0.007420047985032866}. Best is trial 0 with value: 0.970024514806067.
Epoch 1, Val loss: 0.4877, Val F1: 0.8360
Epoch 2, Val loss: 0.3904, Val F1: 0.8688
Epoch 3, Val loss: 0.3063, Val F1: 0.8941
Epoch 4, Val loss: 0.2584, Val F1: 0.9178
Epoch 5, Val loss: 0.2867, Val F1: 0.9027
Epoch 6, Val loss: 0.2366, Val F1: 0.9229
Epoch 7, Val loss: 0.1602, Val F1: 0.9446
Epoch 8, Val loss: 0.1878, Val F1: 0.9362
Epoch 9, Val loss: 0.1967, Val F1: 0.9352
Epoch 10, Val loss: 0.1455, Val F1: 0.9513
Epoch 11, Val loss: 0.1745, Val F1: 0.9462
Epoch 12, Val loss: 0.1440, Val F1: 0.9502
Epoch 13, Val loss: 0.1573, Val F1: 0.9468
Epoch 14, Val loss: 0.1284, Val F1: 0.9575
Epoch 15, Val loss: 0.1356, Val F1: 0.9541
Epoch 16, Val loss: 0.1434, Val F1: 0.9566
