=== Job started: Sun Jun  7 22:18:08 CEST 2026 ===
Node:       rtx6000gpu2
Image type: ms
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:18:14,200] A new study created in memory with name: ms
Epoch 1, Val loss: 0.9816, Val F1: 0.6492
Epoch 2, Val loss: 0.5875, Val F1: 0.7932
Epoch 3, Val loss: 0.5472, Val F1: 0.8251
Epoch 4, Val loss: 0.3499, Val F1: 0.8900
Epoch 5, Val loss: 0.2993, Val F1: 0.9044
Epoch 6, Val loss: 0.2826, Val F1: 0.9129
Epoch 7, Val loss: 0.2093, Val F1: 0.9315
Epoch 8, Val loss: 0.2305, Val F1: 0.9314
Epoch 9, Val loss: 0.2121, Val F1: 0.9323
Epoch 10, Val loss: 0.2287, Val F1: 0.9303
Epoch 11, Val loss: 0.2014, Val F1: 0.9408
Epoch 12, Val loss: 0.1935, Val F1: 0.9396
Epoch 13, Val loss: 0.1852, Val F1: 0.9464
Epoch 14, Val loss: 0.1870, Val F1: 0.9434
Epoch 15, Val loss: 0.1886, Val F1: 0.9444
Epoch 16, Val loss: 0.1646, Val F1: 0.9458
Epoch 17, Val loss: 0.1541, Val F1: 0.9579
Epoch 18, Val loss: 0.1728, Val F1: 0.9539
Epoch 19, Val loss: 0.1697, Val F1: 0.9511
Epoch 20, Val loss: 0.1688, Val F1: 0.9539
Epoch 21, Val loss: 0.1780, Val F1: 0.9493
Epoch 22, Val loss: 0.8233, Val F1: 0.7987
[I 2026-06-07 22:19:22,593] Trial 0 finished with value: 0.9579150667666149 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'kernels_block_0': 'multi_3_5_7_9', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_5_7_9', 'n_fc_layers': 1, 'fc_hidden': 64, 'dropout': 0.3779199834391057, 'activation': 'relu', 'lr': 0.0074562447093472544}. Best is trial 0 with value: 0.9579150667666149.
Epoch 1, Val loss: 0.9804, Val F1: 0.5720
Epoch 2, Val loss: 0.6012, Val F1: 0.7800
Epoch 3, Val loss: 0.4053, Val F1: 0.8619
Epoch 4, Val loss: 0.2910, Val F1: 0.9027
Epoch 5, Val loss: 0.2686, Val F1: 0.9131
Epoch 6, Val loss: 0.2199, Val F1: 0.9286
Epoch 7, Val loss: 0.4016, Val F1: 0.8918
Epoch 8, Val loss: 0.2541, Val F1: 0.9163
Epoch 9, Val loss: 0.1650, Val F1: 0.9483
Epoch 10, Val loss: 0.1586, Val F1: 0.9434
Epoch 11, Val loss: 0.1640, Val F1: 0.9486
Epoch 12, Val loss: 0.1455, Val F1: 0.9511
Epoch 13, Val loss: 0.1717, Val F1: 0.9490
Epoch 14, Val loss: 0.1235, Val F1: 0.9599
Epoch 15, Val loss: 0.2101, Val F1: 0.9328
Epoch 16, Val loss: 0.1685, Val F1: 0.9487
Epoch 17, Val loss: 0.1782, Val F1: 0.9520
Epoch 18, Val loss: 0.1995, Val F1: 0.9413
Epoch 19, Val loss: 0.1413, Val F1: 0.9542
[I 2026-06-07 22:20:21,012] Trial 1 finished with value: 0.9599232681444235 and parameters: {'n_conv_blocks': 6, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_3', 'kernels_block_4': 'single_3', 'kernels_block_5': 'single_5', 'n_fc_layers': 1, 'fc_hidden': 1024, 'dropout': 0.2867476363761896, 'activation': 'silu', 'lr': 0.00649061979931565}. Best is trial 1 with value: 0.9599232681444235.
Epoch 1, Val loss: 1.1287, Val F1: 0.5280
Epoch 2, Val loss: 1.0352, Val F1: 0.5753
Epoch 3, Val loss: 0.8439, Val F1: 0.6601
Epoch 4, Val loss: 0.7461, Val F1: 0.7093
Epoch 5, Val loss: 0.6141, Val F1: 0.7826
Epoch 6, Val loss: 0.5048, Val F1: 0.8593
Epoch 7, Val loss: 0.3787, Val F1: 0.8924
Epoch 8, Val loss: 0.4216, Val F1: 0.8814
Epoch 9, Val loss: 0.4654, Val F1: 0.8730
Epoch 10, Val loss: 0.3182, Val F1: 0.9093
Epoch 11, Val loss: 0.2443, Val F1: 0.9337
Epoch 12, Val loss: 0.3810, Val F1: 0.9011
Epoch 13, Val loss: 0.3642, Val F1: 0.9053
Epoch 14, Val loss: 0.2519, Val F1: 0.9286
Epoch 15, Val loss: 0.2429, Val F1: 0.9305
Epoch 16, Val loss: 0.2855, Val F1: 0.9183
[I 2026-06-07 22:21:10,251] Trial 2 finished with value: 0.9337199754400846 and parameters: {'n_conv_blocks': 6, 'base_channels': 16, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_5_7_9', 'kernels_block_2': 'multi_3_5', 'kernels_block_3': 'multi_3_5', 'kernels_block_4': 'single_3', 'kernels_block_5': 'multi_3_5', 'n_fc_layers': 9, 'fc_hidden': 256, 'dropout': 0.2589337913201598, 'activation': 'gelu', 'lr': 0.0013704613859902692}. Best is trial 1 with value: 0.9599232681444235.
Epoch 1, Val loss: 0.8283, Val F1: 0.7011
Epoch 2, Val loss: 0.5122, Val F1: 0.8229
Epoch 3, Val loss: 0.4018, Val F1: 0.8574
Epoch 4, Val loss: 0.3321, Val F1: 0.8919
Epoch 5, Val loss: 0.2354, Val F1: 0.9231
Epoch 6, Val loss: 0.2958, Val F1: 0.8973
Epoch 7, Val loss: 0.1760, Val F1: 0.9440
Epoch 8, Val loss: 0.2741, Val F1: 0.9189
Epoch 9, Val loss: 0.2226, Val F1: 0.9226
Epoch 10, Val loss: 0.2559, Val F1: 0.9222
Epoch 11, Val loss: 0.2190, Val F1: 0.9355
Epoch 12, Val loss: 0.2104, Val F1: 0.9312
[I 2026-06-07 22:21:49,598] Trial 3 finished with value: 0.9440118798925481 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'multi_3_5', 'kernels_block_1': 'multi_3_5_7_9', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'kernels_block_4': 'multi_3_5_7_9', 'n_fc_layers': 2, 'fc_hidden': 2048, 'dropout': 0.41322072067292526, 'activation': 'gelu', 'lr': 0.001714525899421766}. Best is trial 1 with value: 0.9599232681444235.
Epoch 1, Val loss: 1.3313, Val F1: 0.2719
Epoch 2, Val loss: 0.8901, Val F1: 0.6315
Epoch 3, Val loss: 0.7739, Val F1: 0.6566
Epoch 4, Val loss: 0.6738, Val F1: 0.6760
Epoch 5, Val loss: 0.6073, Val F1: 0.7530
Epoch 6, Val loss: 0.5017, Val F1: 0.7837
Epoch 7, Val loss: 0.4579, Val F1: 0.8322
Epoch 8, Val loss: 0.3234, Val F1: 0.9062
Epoch 9, Val loss: 0.3052, Val F1: 0.9146
Epoch 10, Val loss: 0.2547, Val F1: 0.9331
Epoch 11, Val loss: 0.3476, Val F1: 0.9057
Epoch 12, Val loss: 0.2220, Val F1: 0.9405
Epoch 13, Val loss: 0.2601, Val F1: 0.9279
Epoch 14, Val loss: 0.2294, Val F1: 0.9391
Epoch 15, Val loss: 0.2086, Val F1: 0.9512
Epoch 16, Val loss: 0.2208, Val F1: 0.9456
Epoch 17, Val loss: 0.2066, Val F1: 0.9532
Epoch 18, Val loss: 0.1527, Val F1: 0.9607
Epoch 19, Val loss: 0.1801, Val F1: 0.9502
Epoch 20, Val loss: 0.1580, Val F1: 0.9573
Epoch 21, Val loss: 0.1602, Val F1: 0.9540
Epoch 22, Val loss: 0.1773, Val F1: 0.9491
Epoch 23, Val loss: 0.1683, Val F1: 0.9551
[I 2026-06-07 22:22:59,503] Trial 4 finished with value: 0.9606539522880088 and parameters: {'n_conv_blocks': 5, 'base_channels': 32, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_5', 'kernels_block_4': 'single_3', 'n_fc_layers': 8, 'fc_hidden': 512, 'dropout': 0.47166706953348286, 'activation': 'relu', 'lr': 0.0003255564119681836}. Best is trial 4 with value: 0.9606539522880088.
Epoch 1, Val loss: 1.8432, Val F1: 0.2329
[I 2026-06-07 22:23:02,758] Trial 5 pruned. 
Epoch 1, Val loss: 2.0399, Val F1: 0.2131
[I 2026-06-07 22:23:06,626] Trial 6 pruned. 
Epoch 1, Val loss: 0.7694, Val F1: 0.7437
Epoch 2, Val loss: 0.3857, Val F1: 0.8706
Epoch 3, Val loss: 0.3988, Val F1: 0.8708
Epoch 4, Val loss: 0.4122, Val F1: 0.8654
[I 2026-06-07 22:23:18,672] Trial 7 pruned. 
Epoch 1, Val loss: 1.3583, Val F1: 0.4259
[I 2026-06-07 22:23:21,787] Trial 8 pruned. 
Epoch 1, Val loss: 2.3021, Val F1: 0.0200
[I 2026-06-07 22:23:24,795] Trial 9 pruned. 
Epoch 1, Val loss: 1.4045, Val F1: 0.3389
[I 2026-06-07 22:23:27,801] Trial 10 pruned. 
Epoch 1, Val loss: 0.7776, Val F1: 0.6766
Epoch 2, Val loss: 0.3992, Val F1: 0.8706
Epoch 3, Val loss: 0.3489, Val F1: 0.8960
Epoch 4, Val loss: 0.2622, Val F1: 0.9173
Epoch 5, Val loss: 0.2154, Val F1: 0.9349
Epoch 6, Val loss: 0.2517, Val F1: 0.9254
Epoch 7, Val loss: 0.2357, Val F1: 0.9271
Epoch 8, Val loss: 0.1798, Val F1: 0.9440
Epoch 9, Val loss: 0.1939, Val F1: 0.9399
Epoch 10, Val loss: 0.1565, Val F1: 0.9492
Epoch 11, Val loss: 0.2183, Val F1: 0.9359
Epoch 12, Val loss: 0.1496, Val F1: 0.9495
Epoch 13, Val loss: 0.1460, Val F1: 0.9559
Epoch 14, Val loss: 0.1391, Val F1: 0.9566
Epoch 15, Val loss: 0.2150, Val F1: 0.9367
Epoch 16, Val loss: 0.1332, Val F1: 0.9592
Epoch 17, Val loss: 0.2549, Val F1: 0.9278
Epoch 18, Val loss: 0.1513, Val F1: 0.9518
Epoch 19, Val loss: 0.1456, Val F1: 0.9593
Epoch 20, Val loss: 0.1300, Val F1: 0.9610
Epoch 21, Val loss: 0.1557, Val F1: 0.9570
Epoch 22, Val loss: 0.1209, Val F1: 0.9669
Epoch 23, Val loss: 0.1922, Val F1: 0.9477
Epoch 24, Val loss: 0.1422, Val F1: 0.9564
Epoch 25, Val loss: 0.0934, Val F1: 0.9724
Epoch 26, Val loss: 0.1264, Val F1: 0.9632
Epoch 27, Val loss: 0.1870, Val F1: 0.9497
Epoch 28, Val loss: 0.1264, Val F1: 0.9649
Epoch 29, Val loss: 0.1545, Val F1: 0.9599
Epoch 30, Val loss: 0.1360, Val F1: 0.9608
[I 2026-06-07 22:25:00,841] Trial 11 finished with value: 0.9724024050639436 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_3', 'kernels_block_4': 'single_5', 'n_fc_layers': 6, 'fc_hidden': 512, 'dropout': 0.31462705995600426, 'activation': 'silu', 'lr': 0.0002765745371109243}. Best is trial 11 with value: 0.9724024050639436.
Epoch 1, Val loss: 0.6593, Val F1: 0.7401
Epoch 2, Val loss: 0.4078, Val F1: 0.8733
Epoch 3, Val loss: 0.3341, Val F1: 0.8913
Epoch 4, Val loss: 0.3476, Val F1: 0.8914
Epoch 5, Val loss: 0.2580, Val F1: 0.9205
Epoch 6, Val loss: 0.1918, Val F1: 0.9463
Epoch 7, Val loss: 0.2029, Val F1: 0.9436
Epoch 8, Val loss: 0.2160, Val F1: 0.9340
Epoch 9, Val loss: 0.1960, Val F1: 0.9414
Epoch 10, Val loss: 0.1583, Val F1: 0.9501
Epoch 11, Val loss: 0.1522, Val F1: 0.9540
Epoch 12, Val loss: 0.1492, Val F1: 0.9579
Epoch 13, Val loss: 0.1238, Val F1: 0.9656
Epoch 14, Val loss: 0.1212, Val F1: 0.9638
Epoch 15, Val loss: 0.1389, Val F1: 0.9601
Epoch 16, Val loss: 0.1377, Val F1: 0.9605
Epoch 17, Val loss: 0.1541, Val F1: 0.9569
