=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
Epoch 1, Val loss: 0.6332, Val F1: 0.7706
Epoch 2, Val loss: 0.4949, Val F1: 0.8213
Epoch 3, Val loss: 0.4615, Val F1: 0.8300
Epoch 4, Val loss: 0.4254, Val F1: 0.8458
Epoch 5, Val loss: 0.4267, Val F1: 0.8489
Epoch 6, Val loss: 0.3804, Val F1: 0.8599
Epoch 7, Val loss: 0.3320, Val F1: 0.8833
Epoch 8, Val loss: 0.3221, Val F1: 0.8832
Epoch 9, Val loss: 0.4086, Val F1: 0.8457
Epoch 10, Val loss: 0.2839, Val F1: 0.8979
Epoch 11, Val loss: 0.2956, Val F1: 0.8965
Epoch 12, Val loss: 0.2788, Val F1: 0.9018
Epoch 13, Val loss: 0.2765, Val F1: 0.8992
Epoch 14, Val loss: 0.3203, Val F1: 0.8943
Epoch 15, Val loss: 0.2558, Val F1: 0.9117
Epoch 16, Val loss: 0.2653, Val F1: 0.9100
Epoch 17, Val loss: 0.3335, Val F1: 0.8927
Epoch 18, Val loss: 0.2475, Val F1: 0.9159
Epoch 19, Val loss: 0.2886, Val F1: 0.9002
Epoch 20, Val loss: 0.2831, Val F1: 0.9107
Epoch 21, Val loss: 0.2786, Val F1: 0.9081
Epoch 22, Val loss: 0.2683, Val F1: 0.9126
Epoch 23, Val loss: 0.2968, Val F1: 0.9049
[I 2026-05-27 01:58:29,114] Trial 0 finished with value: 0.9158945860626858 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'fc_hidden': 256, 'dropout': 0.5509518431325207, 'activation': 'gelu', 'lr': 0.0001560828643852195}. Best is trial 0 with value: 0.9158945860626858.
Epoch 1, Val loss: 3.5599, Val F1: 0.2325
Epoch 2, Val loss: 1.4191, Val F1: 0.4261
Epoch 3, Val loss: 1.2094, Val F1: 0.5131
Epoch 4, Val loss: 0.9657, Val F1: 0.6354
Epoch 5, Val loss: 1.0303, Val F1: 0.6374
Epoch 6, Val loss: 1.0314, Val F1: 0.6363
Epoch 7, Val loss: 1.0770, Val F1: 0.6264
Epoch 8, Val loss: 1.3169, Val F1: 0.5580
Epoch 9, Val loss: 0.9282, Val F1: 0.6885
Epoch 10, Val loss: 1.2493, Val F1: 0.6317
Epoch 11, Val loss: 0.8067, Val F1: 0.7160
Epoch 12, Val loss: 0.7291, Val F1: 0.7496
Epoch 13, Val loss: 0.9333, Val F1: 0.7484
Epoch 14, Val loss: 0.7330, Val F1: 0.7539
Epoch 15, Val loss: 0.5762, Val F1: 0.8204
Epoch 16, Val loss: 2.0223, Val F1: 0.4488
Epoch 17, Val loss: 0.6440, Val F1: 0.8143
Epoch 18, Val loss: 1.1833, Val F1: 0.7220
Epoch 19, Val loss: 1.8188, Val F1: 0.5930
Epoch 20, Val loss: 0.9711, Val F1: 0.7441
[I 2026-05-27 01:59:04,875] Trial 1 finished with value: 0.8204422859835377 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.569881521269288, 'activation': 'gelu', 'lr': 0.004305558845200698}. Best is trial 0 with value: 0.9158945860626858.
Epoch 1, Val loss: 3.9897, Val F1: 0.2175
Epoch 2, Val loss: 1.1425, Val F1: 0.6237
Epoch 3, Val loss: 1.4395, Val F1: 0.4827
Epoch 4, Val loss: 1.8223, Val F1: 0.4435
Epoch 5, Val loss: 1.1234, Val F1: 0.6058
Epoch 6, Val loss: 2.4192, Val F1: 0.4551
Epoch 7, Val loss: 1.0927, Val F1: 0.6111
[I 2026-05-27 01:59:17,315] Trial 2 finished with value: 0.623687919883894 and parameters: {'n_conv_blocks': 3, 'base_channels': 32, 'fc_hidden': 128, 'dropout': 0.35261787303260916, 'activation': 'gelu', 'lr': 0.0042476829736453215}. Best is trial 0 with value: 0.9158945860626858.
Epoch 1, Val loss: 2.2943, Val F1: 0.0200
Epoch 2, Val loss: 2.2940, Val F1: 0.0200
Epoch 3, Val loss: 2.2945, Val F1: 0.0200
Epoch 4, Val loss: 2.2943, Val F1: 0.0200
Epoch 5, Val loss: 2.2941, Val F1: 0.0200
Epoch 6, Val loss: 2.2942, Val F1: 0.0200
[I 2026-05-27 01:59:27,858] Trial 3 finished with value: 0.02 and parameters: {'n_conv_blocks': 2, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.5553688075335612, 'activation': 'relu', 'lr': 0.0047465760768969495}. Best is trial 0 with value: 0.9158945860626858.
Epoch 1, Val loss: 0.5883, Val F1: 0.7947
Epoch 2, Val loss: 0.5795, Val F1: 0.7906
Epoch 3, Val loss: 0.5088, Val F1: 0.8234
Epoch 4, Val loss: 0.4444, Val F1: 0.8422
Epoch 5, Val loss: 0.3889, Val F1: 0.8601
Epoch 6, Val loss: 0.3286, Val F1: 0.8844
Epoch 7, Val loss: 0.3796, Val F1: 0.8625
Epoch 8, Val loss: 0.3108, Val F1: 0.8935
Epoch 9, Val loss: 0.3170, Val F1: 0.8874
Epoch 10, Val loss: 0.3157, Val F1: 0.8839
Epoch 11, Val loss: 0.3186, Val F1: 0.8919
Epoch 12, Val loss: 0.2684, Val F1: 0.9038
Epoch 13, Val loss: 0.3331, Val F1: 0.8923
Epoch 14, Val loss: 0.2907, Val F1: 0.9023
Epoch 15, Val loss: 0.3288, Val F1: 0.8908
Epoch 16, Val loss: 0.3735, Val F1: 0.8781
Epoch 17, Val loss: 0.2775, Val F1: 0.9067
Epoch 18, Val loss: 0.2757, Val F1: 0.9115
Epoch 19, Val loss: 0.2364, Val F1: 0.9246
Epoch 20, Val loss: 0.2030, Val F1: 0.9341
Epoch 21, Val loss: 0.7222, Val F1: 0.8401
Epoch 22, Val loss: 0.2858, Val F1: 0.9156
Epoch 23, Val loss: 0.2169, Val F1: 0.9367
Epoch 24, Val loss: 0.2651, Val F1: 0.9206
Epoch 25, Val loss: 0.2377, Val F1: 0.9278
Epoch 26, Val loss: 0.2304, Val F1: 0.9309
Epoch 27, Val loss: 0.2752, Val F1: 0.9207
Epoch 28, Val loss: 0.2327, Val F1: 0.9357
[I 2026-05-27 02:00:17,709] Trial 4 finished with value: 0.9366598830006755 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.4927255862417762, 'activation': 'gelu', 'lr': 0.00023370137791551152}. Best is trial 4 with value: 0.9366598830006755.
Epoch 1, Val loss: 0.7322, Val F1: 0.7275
Epoch 2, Val loss: 0.5713, Val F1: 0.7803
Epoch 3, Val loss: 0.4528, Val F1: 0.8413
Epoch 4, Val loss: 0.4201, Val F1: 0.8452
Epoch 5, Val loss: 0.3933, Val F1: 0.8548
Epoch 6, Val loss: 0.3627, Val F1: 0.8672
Epoch 7, Val loss: 0.3365, Val F1: 0.8755
