=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
Epoch 1, Val loss: 1.7582, Val F1: 0.2141
Epoch 2, Val loss: 1.7302, Val F1: 0.2767
Epoch 3, Val loss: 1.5912, Val F1: 0.3483
Epoch 4, Val loss: 1.5821, Val F1: 0.2765
Epoch 5, Val loss: 2.1542, Val F1: 0.1349
Epoch 6, Val loss: 2.0956, Val F1: 0.1226
Epoch 7, Val loss: 1.4985, Val F1: 0.3910
Epoch 8, Val loss: 1.5378, Val F1: 0.3963
Epoch 9, Val loss: 1.4344, Val F1: 0.3877
Epoch 10, Val loss: 1.5117, Val F1: 0.3437
Epoch 11, Val loss: 5.1891, Val F1: 0.2206
Epoch 12, Val loss: 1.8356, Val F1: 0.2486
Epoch 13, Val loss: 1.6378, Val F1: 0.3206
[I 2026-05-28 17:08:24,208] Trial 0 finished with value: 0.3962805228850422 and parameters: {'n_conv_blocks': 3, 'base_channels': 128, 'kernels': 'multi_3_7', 'n_fc_layers': 2, 'fc_hidden': 128, 'dropout': 0.39099546044749384, 'activation': 'silu', 'lr': 0.007218423529551213}. Best is trial 0 with value: 0.3962805228850422.
Epoch 1, Val loss: 1.1039, Val F1: 0.6294
Epoch 2, Val loss: 1.3117, Val F1: 0.5325
Epoch 3, Val loss: 0.8850, Val F1: 0.6739
Epoch 4, Val loss: 1.0215, Val F1: 0.6604
Epoch 5, Val loss: 1.0455, Val F1: 0.5892
Epoch 6, Val loss: 0.7920, Val F1: 0.7343
Epoch 7, Val loss: 0.6847, Val F1: 0.7620
Epoch 8, Val loss: 1.4450, Val F1: 0.5381
Epoch 9, Val loss: 0.5171, Val F1: 0.8236
Epoch 10, Val loss: 1.4674, Val F1: 0.5872
Epoch 11, Val loss: 1.4890, Val F1: 0.6151
Epoch 12, Val loss: 1.9149, Val F1: 0.4970
Epoch 13, Val loss: 0.7157, Val F1: 0.7598
Epoch 14, Val loss: 0.7996, Val F1: 0.7213
[I 2026-05-28 17:08:54,168] Trial 1 finished with value: 0.8236265617054874 and parameters: {'n_conv_blocks': 3, 'base_channels': 32, 'kernels': 'single_3', 'n_fc_layers': 3, 'fc_hidden': 128, 'dropout': 0.46336301952981146, 'activation': 'silu', 'lr': 0.0011373722144342843}. Best is trial 1 with value: 0.8236265617054874.
Epoch 1, Val loss: 2.8809, Val F1: 0.1242
Epoch 2, Val loss: 3.3900, Val F1: 0.3126
Epoch 3, Val loss: 1.3726, Val F1: 0.5029
Epoch 4, Val loss: 1.0657, Val F1: 0.5929
Epoch 5, Val loss: 2.6166, Val F1: 0.2721
Epoch 6, Val loss: 2.1333, Val F1: 0.3355
Epoch 7, Val loss: 1.0771, Val F1: 0.5880
Epoch 8, Val loss: 1.1383, Val F1: 0.5694
Epoch 9, Val loss: 1.2920, Val F1: 0.5737
