=== Job started: Sun Jun  7 22:07:59 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:08:17,202] A new study created in memory with name: rgb
Epoch 1, Val loss: 1.8790, Val F1: 0.3776
Epoch 2, Val loss: 0.5919, Val F1: 0.7738
Epoch 3, Val loss: 1.2717, Val F1: 0.6026
Epoch 4, Val loss: 1.6182, Val F1: 0.5418
Epoch 5, Val loss: 0.5966, Val F1: 0.8037
Epoch 6, Val loss: 0.4781, Val F1: 0.8396
Epoch 7, Val loss: 1.0933, Val F1: 0.6777
Epoch 8, Val loss: 0.3917, Val F1: 0.8686
Epoch 9, Val loss: 0.4320, Val F1: 0.8576
Epoch 10, Val loss: 1.9093, Val F1: 0.5978
Epoch 11, Val loss: 0.7736, Val F1: 0.7435
Epoch 12, Val loss: 0.4354, Val F1: 0.8669
Epoch 13, Val loss: 0.4788, Val F1: 0.8764
Epoch 14, Val loss: 0.4581, Val F1: 0.8576
Epoch 15, Val loss: 0.7155, Val F1: 0.7837
Epoch 16, Val loss: 0.4648, Val F1: 0.8581
Epoch 17, Val loss: 1.5547, Val F1: 0.6353
Epoch 18, Val loss: 0.7410, Val F1: 0.8217
[I 2026-06-07 22:09:14,352] Trial 0 finished with value: 0.8764133018735878 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_3', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_7', 'kernels_block_3': 'multi_3_5_7_9', 'n_fc_layers': 4, 'fc_hidden': 1024, 'dropout': 0.5437911998515852, 'activation': 'silu', 'lr': 0.0006515332893235748}. Best is trial 0 with value: 0.8764133018735878.
Epoch 1, Val loss: 1.5967, Val F1: 0.1959
Epoch 2, Val loss: 1.3702, Val F1: 0.3752
Epoch 3, Val loss: 1.4240, Val F1: 0.3883
Epoch 4, Val loss: 1.6095, Val F1: 0.4020
Epoch 5, Val loss: 1.3005, Val F1: 0.5404
Epoch 6, Val loss: 1.0184, Val F1: 0.5973
Epoch 7, Val loss: 1.0010, Val F1: 0.6241
Epoch 8, Val loss: 1.1024, Val F1: 0.5810
Epoch 9, Val loss: 1.9868, Val F1: 0.3797
Epoch 10, Val loss: 1.1510, Val F1: 0.5760
Epoch 11, Val loss: 1.0735, Val F1: 0.6086
Epoch 12, Val loss: 0.8784, Val F1: 0.7002
Epoch 13, Val loss: 1.0381, Val F1: 0.6047
Epoch 14, Val loss: 0.8976, Val F1: 0.6976
Epoch 15, Val loss: 0.8157, Val F1: 0.6997
Epoch 16, Val loss: 1.6564, Val F1: 0.4473
Epoch 17, Val loss: 0.8424, Val F1: 0.7062
Epoch 18, Val loss: 0.6657, Val F1: 0.7845
Epoch 19, Val loss: 1.0057, Val F1: 0.6971
Epoch 20, Val loss: 0.6304, Val F1: 0.7774
Epoch 21, Val loss: 2.3210, Val F1: 0.4309
Epoch 22, Val loss: 0.8285, Val F1: 0.7185
Epoch 23, Val loss: 0.6592, Val F1: 0.8148
Epoch 24, Val loss: 0.5457, Val F1: 0.8415
Epoch 25, Val loss: 0.9194, Val F1: 0.7330
Epoch 26, Val loss: 0.5337, Val F1: 0.8434
Epoch 27, Val loss: 0.5756, Val F1: 0.8156
Epoch 28, Val loss: 0.5033, Val F1: 0.8407
Epoch 29, Val loss: 0.8770, Val F1: 0.7255
Epoch 30, Val loss: 0.8274, Val F1: 0.7446
[I 2026-06-07 22:10:09,078] Trial 1 finished with value: 0.8434067532387142 and parameters: {'n_conv_blocks': 6, 'base_channels': 16, 'kernels_block_0': 'multi_3_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5', 'kernels_block_3': 'multi_3_5', 'kernels_block_4': 'single_5', 'kernels_block_5': 'single_5', 'n_fc_layers': 7, 'fc_hidden': 1024, 'dropout': 0.547635893948984, 'activation': 'relu', 'lr': 0.0010810665972582072}. Best is trial 0 with value: 0.8764133018735878.
Epoch 1, Val loss: 2.3113, Val F1: 0.1572
Epoch 2, Val loss: 2.6320, Val F1: 0.1077
Epoch 3, Val loss: 1.9707, Val F1: 0.1444
