perturbation,severity_label,severity_value,f1,mean_confidence
clean,—,,0.975469,0.985192
rotation,0°,0,0.975469,0.985192
rotation,15°,15,0.962652,0.980748
rotation,30°,30,0.945382,0.972486
rotation,45°,45,0.931215,0.967295
rotation,90°,90,0.966967,0.98285
rotation,135°,135,0.933998,0.967693
rotation,180°,180,0.96082,0.979697
gaussian_noise,0,0.0,0.975469,0.985192
gaussian_noise,0.1,0.1,0.963434,0.981991
gaussian_noise,0.25,0.25,0.809462,0.951834
gaussian_noise,0.5,0.5,0.51154,0.912563
gaussian_noise,1.0,1.0,0.167646,0.85651
gaussian_noise,2.0,2.0,0.156896,0.893569
brightness,0.1×,0.1,0.02,0.990527
brightness,0.25×,0.25,0.041601,0.949229
brightness,0.5×,0.5,0.381318,0.812411
brightness,0.75×,0.75,0.912738,0.955034
brightness,1.0×,1.0,0.975469,0.985192
brightness,1.25×,1.25,0.960165,0.984694
brightness,1.5×,1.5,0.926218,0.973055
brightness,2.0×,2.0,0.783973,0.943869
salt_and_pepper,0%,0.0,0.975469,0.985192
salt_and_pepper,1%,0.01,0.751052,0.907722
salt_and_pepper,5%,0.05,0.221338,0.843372
salt_and_pepper,10%,0.1,0.20686,0.801378
salt_and_pepper,20%,0.2,0.199309,0.797301
salt_and_pepper,40%,0.4,0.141663,0.854114
contrast,0.1×,0.1,0.403911,0.864724
contrast,0.25×,0.25,0.428362,0.878251
contrast,0.5×,0.5,0.712034,0.900479
contrast,1.0×,1.0,0.975469,0.985192
contrast,2.0×,2.0,0.78793,0.939844
contrast,5.0×,5.0,0.235336,0.960305
band_each,B1 - Coastal aerosol,0,0.900674,0.960705
band_each,B2 - Blue,1,0.627768,0.92135
band_each,B3 - Green,2,0.664404,0.933814
band_each,B4 - Red,3,0.687767,0.922356
band_each,B5 - Red Edge 1,4,0.853147,0.951364
band_each,B6 - Red Edge 2,5,0.796803,0.951808
band_each,B7 - Red Edge 3,6,0.804972,0.923975
band_each,B8 - NIR,7,0.64706,0.895727
band_each,B8A - Narrow NIR,8,0.935608,0.974822
band_each,B9 - Water Vapour,9,0.971098,0.982448
band_each,B10 - SWIR-Cirrus,10,0.796753,0.941667
band_each,B11 - SWIR 1,11,0.666044,0.904967
band_each,B12 - SWIR 2,12,0.863121,0.954415
band_dropout,1 bands,1,0.900674,0.960705
band_dropout,2 bands,2,0.628268,0.926613
band_dropout,3 bands,3,0.569806,0.87922
band_dropout,4 bands,4,0.490234,0.870941
band_dropout,5 bands,5,0.466113,0.850074
band_dropout,6 bands,6,0.455283,0.894512
band_dropout,7 bands,7,0.37912,0.836551
band_dropout,8 bands,8,0.108889,0.809989
band_dropout,9 bands,9,0.081775,0.793917
hflip,flipped,1,0.96929,0.983189
vflip,flipped,1,0.963513,0.98133
