perturbation,severity_label,severity_value,f1,mean_confidence
clean,—,,0.96287,0.963717
rotation,0°,0,0.96287,0.963717
rotation,15°,15,0.679721,0.886475
rotation,30°,30,0.437221,0.890451
rotation,45°,45,0.328164,0.911999
rotation,90°,90,0.940795,0.94883
rotation,135°,135,0.306845,0.905521
rotation,180°,180,0.909258,0.947763
gaussian_noise,0,0.0,0.96287,0.963717
gaussian_noise,0.01,0.01,0.714281,0.929795
gaussian_noise,0.05,0.05,0.107273,0.972227
gaussian_noise,0.1,0.1,0.02906,0.999973
gaussian_noise,0.2,0.2,0.02906,1.0
gaussian_noise,0.5,0.5,0.02906,1.0
brightness,0.1×,0.1,0.01982,0.965455
brightness,0.25×,0.25,0.042222,0.897922
brightness,0.5×,0.5,0.148868,0.857508
brightness,0.75×,0.75,0.627778,0.886962
brightness,1.0×,1.0,0.96287,0.963717
brightness,1.25×,1.25,0.827202,0.886831
brightness,1.5×,1.5,0.54516,0.870534
brightness,2.0×,2.0,0.181157,0.856779
salt_and_pepper,0%,0.0,0.96287,0.963717
salt_and_pepper,1%,0.01,0.22917,0.875126
salt_and_pepper,5%,0.05,0.02906,1.0
salt_and_pepper,10%,0.1,0.02906,1.0
salt_and_pepper,20%,0.2,0.02906,1.0
salt_and_pepper,40%,0.4,0.02906,1.0
contrast,0.1×,0.1,0.024725,0.82671
contrast,0.25×,0.25,0.136473,0.887879
contrast,0.5×,0.5,0.322384,0.852718
contrast,1.0×,1.0,0.96287,0.963717
contrast,2.0×,2.0,0.611698,0.896769
contrast,5.0×,5.0,0.168754,0.907697
hflip,flipped,1,0.946411,0.959826
vflip,flipped,1,0.943484,0.940252
